,id,crystal_system,point_group
604,mp-1013734,cubic,m-3m
605,mp-1013735,cubic,m-3m
606,mp-1013736,cubic,m-3m
607,mp-1013737,cubic,m-3m
608,mp-1013738,cubic,m-3m
609,mp-10139,cubic,m-3m
610,mp-1013900,orthorhombic,mmm
611,mp-10140,cubic,m-3m
612,mp-1014005,cubic,m-3m
613,mp-1014013,orthorhombic,mmm
614,mp-10141,,
615,mp-1014111,,
616,mp-1014138,hexagonal,-6m2
617,mp-1014160,trigonal,-3m
618,mp-10142,orthorhombic,mmm
619,mp-1014212,cubic,m-3m
620,mp-1014214,cubic,m-3m
621,mp-1014219,cubic,m-3m
622,mp-1014227,orthorhombic,mmm
623,mp-1014229,tetragonal,4/mmm
624,mp-1014230,cubic,m-3m
625,mp-1014231,tetragonal,4/mmm
626,mp-1014244,trigonal,3m
627,mp-1014246,hexagonal,6/mmm
628,mp-1014251,trigonal,3m
629,mp-1014261,tetragonal,4/mmm
630,mp-1014264,cubic,m-3m
631,mp-1014265,tetragonal,4/mmm
632,mp-1014281,orthorhombic,mmm
633,mp-1014286,hexagonal,6/mmm
634,mp-1014287,tetragonal,4/mmm
635,mp-1014296,orthorhombic,mmm
636,mp-1014298,orthorhombic,mmm
637,mp-10143,cubic,-43m
638,mp-1014303,tetragonal,4/mmm
639,mp-1014307,hexagonal,6/mmm
640,mp-1014311,cubic,m-3m
641,mp-1014316,cubic,m-3m
642,mp-1014324,orthorhombic,mmm
643,mp-1014366,tetragonal,4/mmm
644,mp-1014373,cubic,m-3m
645,mp-10144,hexagonal,6/mmm
646,mp-1014454,trigonal,-3m
647,mp-1014460,cubic,m-3m
648,mp-1014462,orthorhombic,mmm
649,mp-1014478,orthorhombic,mmm
650,mp-10145,hexagonal,6/mmm
651,mp-1014509,trigonal,32
652,mp-10148,cubic,m-3m
653,mp-1014873,orthorhombic,mmm
654,mp-10149,cubic,m-3m
655,mp-1015061,orthorhombic,mmm
656,mp-10154,cubic,-43m
657,mp-1015612,hexagonal,622
658,mp-10157,cubic,m-3m
659,mp-1015811,orthorhombic,mmm
660,mp-1015814,orthorhombic,mmm
661,mp-10159,cubic,m-3m
662,mp-1015908,trigonal,32
663,mp-10161,hexagonal,-6m2
664,mp-1016197,tetragonal,-42m
665,mp-1016200,tetragonal,-42m
666,mp-1016227,cubic,m-3m
667,mp-1016231,orthorhombic,mm2
668,mp-1016296,tetragonal,4/mmm
669,mp-10163,tetragonal,4/mmm
670,mp-1016304,orthorhombic,mm2
671,mp-1016329,tetragonal,4/mmm
672,mp-1016330,tetragonal,4/mmm
673,mp-1016334,orthorhombic,mm2
674,mp-1016337,orthorhombic,mm2
675,mp-1016372,orthorhombic,mm2
676,mp-1016377,orthorhombic,mm2
677,mp-10164,tetragonal,4/mmm
678,mp-1016428,orthorhombic,mm2
679,mp-1016442,orthorhombic,mm2
680,mp-1016475,orthorhombic,mm2
681,mp-10165,tetragonal,4/mmm
682,mp-1016559,tetragonal,4/mmm
683,mp-1016572,orthorhombic,mm2
684,mp-1016576,orthorhombic,mm2
685,mp-10166,tetragonal,4/mmm
686,mp-1016601,orthorhombic,mm2
687,mp-1016630,orthorhombic,mm2
688,mp-1016639,tetragonal,4/mmm
689,mp-1016647,orthorhombic,mm2
690,mp-1016650,tetragonal,4/mmm
691,mp-1016652,tetragonal,4/mmm
692,mp-1016659,orthorhombic,mm2
693,mp-10167,cubic,-43m
694,mp-1016819,cubic,m-3m
695,mp-1016820,cubic,m-3m
696,mp-1016821,cubic,m-3m
697,mp-1016823,cubic,m-3m
698,mp-1016825,cubic,m-3m
699,mp-1016826,cubic,m-3m
700,mp-1016827,cubic,m-3m
701,mp-1016828,cubic,m-3m
702,mp-1016829,cubic,m-3m
703,mp-1016830,cubic,m-3m
704,mp-1016831,cubic,m-3m
705,mp-1016833,cubic,m-3m
706,mp-1016835,cubic,m-3m
707,mp-1016836,cubic,m-3m
708,mp-1016837,cubic,m-3m
709,mp-1016840,cubic,m-3m
710,mp-1016841,cubic,m-3m
711,mp-1016842,cubic,m-3m
712,mp-1016843,cubic,m-3m
713,mp-1016845,cubic,m-3m
714,mp-1016846,cubic,m-3m
715,mp-1016848,cubic,m-3m
716,mp-1016849,cubic,m-3m
717,mp-1016850,cubic,m-3m
718,mp-1016851,cubic,m-3m
719,mp-1016852,cubic,m-3m
720,mp-1016853,cubic,m-3m
721,mp-1016854,cubic,m-3m
722,mp-1016871,cubic,m-3m
723,mp-1016872,cubic,m-3m
724,mp-1016873,cubic,m-3m
725,mp-1016874,cubic,m-3m
726,mp-1016875,cubic,m-3m
727,mp-1016876,cubic,m-3m
728,mp-1016877,cubic,m-3m
729,mp-1016879,cubic,m-3m
730,mp-1016880,cubic,m-3m
731,mp-1016881,cubic,m-3m
732,mp-1016882,cubic,m-3m
733,mp-1016883,,
734,mp-1016884,,
735,mp-1016886,cubic,m-3m
736,mp-1016900,cubic,m-3m
737,mp-1016902,cubic,m-3m
738,mp-1016903,cubic,m-3m
739,mp-1016904,cubic,m-3m
740,mp-1016926,cubic,m-3m
741,mp-1016927,cubic,m-3m
742,mp-1016928,cubic,m-3m
743,mp-1016929,cubic,m-3m
744,mp-1016930,cubic,m-3m
745,mp-1016931,cubic,m-3m
746,mp-1016932,cubic,m-3m
747,mp-1016938,cubic,m-3m
748,mp-1016999,cubic,m-3m
749,mp-1017,hexagonal,622
750,mp-1017000,cubic,m-3m
751,mp-1017097,orthorhombic,mm2
752,mp-1017109,tetragonal,4/mmm
753,mp-1017167,orthorhombic,mm2
754,mp-1017173,tetragonal,4/mmm
755,mp-1017182,tetragonal,4/mmm
756,mp-1017199,orthorhombic,mm2
